Card#,Version,Qty,Needed,Cardback,Discussion,Attraction Name,Short Description,Category A,Category B,New,@icon1,@icon2,@Image,@fact_bg,@centre_image,@check_box
1,1,1,1,location,,Simpson's in the Strand,Victorian dining rooms serving roasts since 1828,Historic Landmarks,Food & Dining,Existing,category_landmark.png,category_food.png,london_simpson's_in_the_strand.png,fact_bg.png,,check_box.png
2,1,1,1,location,,Ye Olde Cheshire Cheese,Historic pub rebuilt after the Great Fire of 1666,Historic Landmarks,Food & Dining,Existing,category_landmark.png,category_food.png,london_ye_olde_cheshire_cheese.png,fact_bg.png,,check_box.png
3,1,1,1,location,,The Cenotaph,"Nation's war memorial — stop, remember, move on",Historic Landmarks,Food & Dining,Existing,category_landmark.png,category_food.png,london_the_cenotaph.png,fact_bg.png,,check_box.png
4,1,1,1,location,,Leadenhall Market,Ornate Victorian arcade that inspired Diagon Alley,Historic Landmarks,Markets,Existing,category_landmark.png,category_markets.png,london_leadenhall_market.png,fact_bg.png,,check_box.png
5,1,1,1,location,,Covent Garden Piazza,Grand piazza with street performers since 1654,Historic Landmarks,Markets,Existing,category_landmark.png,category_markets.png,london_covent_garden_piazza.png,fact_bg.png,,check_box.png
6,1,1,1,location,,Platform 9¾ King's Cross,Harry Potter's vanishing platform photo spot,Historic Landmarks,Markets,Existing,category_landmark.png,category_markets.png,london_platform_9¾_king's_cross.png,fact_bg.png,,check_box.png
7,1,1,1,location,,The City of London,Ancient financial district with medieval street plan,Historic Landmarks,Neighbourhoods,Existing,category_landmark.png,category_neighbourhood.png,london_the_city_of_london.png,fact_bg.png,,check_box.png
8,1,1,1,location,,Southwark,Historic borough with Shakespeare and coaching inns,Historic Landmarks,Neighbourhoods,Existing,category_landmark.png,category_neighbourhood.png,london_southwark.png,fact_bg.png,,check_box.png
9,1,1,1,location,,Abbey Road Crossing,The world's most famous zebra crossing since 1969,Historic Landmarks,Neighbourhoods,Existing,category_landmark.png,category_neighbourhood.png,london_abbey_road_crossing.png,fact_bg.png,,check_box.png
10,1,1,1,location,,Westminster Abbey Gardens,900-year-old gardens hidden behind the Abbey,Historic Landmarks,Parks & Gardens,Existing,category_landmark.png,category_parks.png,london_westminster_abbey_gardens.png,fact_bg.png,,check_box.png
