Card#,Version,Qty,Needed,Cardback,Discussion,Attraction Name,Short Description,Category A,Category B,@icon1,@icon2,@Image,@fact_bg,@centre_image,@check_box
1,,1,1,,,House Sparrow,Chirpy social birds found in every garden and city. Britain's most familiar garden companion.,Garden & Urban,Seeds & Grain,category_garden.png,category_seeds.png,british_house_sparrow.png,fact_bg.png,,check_box.png
2,,1,1,,,Woodpigeon,Large plump pigeon with distinctive cooing call. Famous for raiding gardens and feeding on grain.,Garden & Urban,Seeds & Grain,category_garden.png,category_seeds.png,british_woodpigeon.png,fact_bg.png,,check_box.png
3,,1,1,,,Blackbird,Male is glossy black with bright orange-yellow beak. Famous for melodious evening song.,Garden & Urban,Berries & Fruit,category_garden.png,category_berries.png,british_blackbird.png,fact_bg.png,,check_box.png
4,,1,1,,,Song Thrush,Spotted breast and warm brown back. Repeats song phrases three times from high perches.,Garden & Urban,Berries & Fruit,category_garden.png,category_berries.png,british_song_thrush.png,fact_bg.png,,check_box.png
5,,1,1,,,Robin,"Britain's national bird with iconic red breast. Confiding garden visitor,  symbol of Christmas.",Garden & Urban,Insects & Invertebrates,category_garden.png,category_insects.png,british_robin.png,fact_bg.png,,check_box.png
6,,1,1,,,Blue Tit,Tiny ball of blue and yellow plumage. Acrobatic feeder on garden plants and feeders.,Garden & Urban,Insects & Invertebrates,category_garden.png,category_insects.png,british_blue_tit.png,fact_bg.png,,check_box.png
7,,1,1,,,Little Grebe,Tiny diving duck of urban park lakes. Shy bird that disappears underwater when alarmed.,Garden & Urban,Fish & Aquatic Prey,category_garden.png,category_fish.png,british_little_grebe.png,fact_bg.png,,check_box.png
8,,1,1,,,Great Crested Grebe,Elegant waterbird with striking crest and black ear tufts. Famous for elaborate courtship displays.,Garden & Urban,Fish & Aquatic Prey,category_garden.png,category_fish.png,british_great_crested_grebe.png,fact_bg.png,,check_box.png
9,,1,1,,,Magpie,"Boldly patterned black and white with long tail. Intelligent,  chattering and inquisitive bird.",Garden & Urban,Meat & Carrion,category_garden.png,category_carnivore.png,british_magpie.png,fact_bg.png,,check_box.png
10,,1,1,,,Sparrowhawk,Sleek blue-grey raptor that hunts garden birds with lightning speed and agility.,Garden & Urban,Meat & Carrion,category_garden.png,category_carnivore.png,british_sparrowhawk.png,fact_bg.png,,check_box.png
11,,1,1,,,Chaffinch,Colorful finch with rusty face and blue-grey head. Bouncing flight and cheerful song.,Woodland,Seeds & Grain,category_woodland.png,category_seeds.png,british_chaffinch.png,fact_bg.png,,check_box.png
12,,1,1,,,Jay,Striking colourful woodland bird with crest and loud raucous calls. Eats acorns and buries them.,Woodland,Seeds & Grain,category_woodland.png,category_seeds.png,british_jay.png,fact_bg.png,,check_box.png
13,,1,1,,,Mistle Thrush,Large spotted thrush that feeds on mistletoe berries and rowan berries in winter.,Woodland,Berries & Fruit,category_woodland.png,category_berries.png,british_mistle_thrush.png,fact_bg.png,,check_box.png
14,,1,1,,,Bullfinch,Stocky finch with black cap and brilliant rose-red breast in males. Visits fruit trees.,Woodland,Berries & Fruit,category_woodland.png,category_berries.png,british_bullfinch.png,fact_bg.png,,check_box.png
15,,1,1,,,Great Spotted Woodpecker,Black and white with dramatic red undertail. Distinctive loud drumming on dead wood.,Woodland,Insects & Invertebrates,category_woodland.png,category_insects.png,british_great_spotted_woodpecker.png,fact_bg.png,,check_box.png
16,,1,1,,,Wren,Tiny brown bird with loud explosive song. Hunts insects in dense cover and shrubbery.,Woodland,Insects & Invertebrates,category_woodland.png,category_insects.png,british_wren.png,fact_bg.png,,check_box.png
17,,1,1,,,Kingfisher,Brilliant turquoise and orange jewel of rivers and streams. Hunts small fish with precision dives.,Woodland,Fish & Aquatic Prey,category_woodland.png,category_fish.png,british_kingfisher.png,fact_bg.png,,check_box.png
18,,1,1,,,Dipper,Small dark bird that walks underwater hunting for aquatic invertebrates in mountain streams.,Woodland,Fish & Aquatic Prey,category_woodland.png,category_fish.png,british_dipper.png,fact_bg.png,,check_box.png
19,,1,1,,,Tawny Owl,Most common owl with dark reddish plumage and eerie hooting call. Hunts small mammals at night.,Woodland,Meat & Carrion,category_woodland.png,category_carnivore.png,british_tawny_owl.png,fact_bg.png,,check_box.png
20,,1,1,,,Goshawk,Powerful forest raptor that hunts large birds and rabbits with incredible agility through trees.,Woodland,Meat & Carrion,category_woodland.png,category_carnivore.png,british_goshawk.png,fact_bg.png,,check_box.png
21,,1,1,,,Skylark,Bird of open grassland famous for soaring song flight high in the sky at dawn.,Farmland & Grassland,Seeds & Grain,category_farmland.png,category_seeds.png,british_skylark.png,fact_bg.png,,check_box.png
22,,1,1,,,Yellowhammer,Golden-headed bunting with rich song. Declining farmland bird that nests in hedgerows.,Farmland & Grassland,Seeds & Grain,category_farmland.png,category_seeds.png,british_yellowhammer.png,fact_bg.png,,check_box.png
23,,1,1,,,Fieldfare,Large spotted thrush that visits fields and hedgerows in winter to feed on berries.,Farmland & Grassland,Berries & Fruit,category_farmland.png,category_berries.png,british_fieldfare.png,fact_bg.png,,check_box.png
24,,1,1,,,Redwing,Smaller cousin of Fieldfare with distinctive red underwing stripe. Winter visitor to hedgerows.,Farmland & Grassland,Berries & Fruit,category_farmland.png,category_berries.png,british_redwing.png,fact_bg.png,,check_box.png
25,,1,1,,,Lapwing,Distinctive black and white plover with long crest. Tumbling display flight over fields.,Farmland & Grassland,Insects & Invertebrates,category_farmland.png,category_insects.png,british_lapwing.png,fact_bg.png,,check_box.png
26,,1,1,,,Starling,Glossy black with white spots. Forms spectacular murmurations of thousands at dusk.,Farmland & Grassland,Insects & Invertebrates,category_farmland.png,category_insects.png,british_starling.png,fact_bg.png,,check_box.png
27,,1,1,,,Little Egret,Delicate white heron with black legs and yellow feet. Now common on British wetlands.,Farmland & Grassland,Fish & Aquatic Prey,category_farmland.png,category_fish.png,british_little_egret.png,fact_bg.png,,check_box.png
28,,1,1,,,Grey Wagtail,Elegant grey and yellow wagtail that hunts flies over farm streams and ditches.,Farmland & Grassland,Fish & Aquatic Prey,category_farmland.png,category_fish.png,british_grey_wagtail.png,fact_bg.png,,check_box.png
29,,1,1,,,Barn Owl,Ghostly white heart-faced owl that hunts voles over farmland at dusk and dawn.,Farmland & Grassland,Meat & Carrion,category_farmland.png,category_carnivore.png,british_barn_owl.png,fact_bg.png,,check_box.png
30,,1,1,,,Buzzard,Common broad-winged raptor seen soaring over fields. Hunts small mammals and rabbits.,Farmland & Grassland,Meat & Carrion,category_farmland.png,category_carnivore.png,british_buzzard.png,fact_bg.png,,check_box.png
31,,1,1,,,Canada Goose,Large dark goose with black neck and white chinstrap. Now common on British lakes.,Wetlands & Waterways,Seeds & Grain,category_wetlands.png,category_seeds.png,british_canada_goose.png,fact_bg.png,,check_box.png
32,,1,1,,,Mute Swan,Iconic pure white swan with orange bill. Graceful on water but aggressive in defense.,Wetlands & Waterways,Seeds & Grain,category_wetlands.png,category_seeds.png,british_mute_swan.png,fact_bg.png,,check_box.png
33,,1,1,,,Mallard,Commonest duck with green-headed drake and brown female. Found on every pond and river.,Wetlands & Waterways,Berries & Fruit,category_wetlands.png,category_berries.png,british_mallard.png,fact_bg.png,,check_box.png
34,,1,1,,,Moorhen,Black waterbird with red and yellow shield on face. Walks at water's edge searching for food.,Wetlands & Waterways,Berries & Fruit,category_wetlands.png,category_berries.png,british_moorhen.png,fact_bg.png,,check_box.png
35,,1,1,,,Reed Warbler,Streaky brown warbler that nests in reed beds over water. Beautiful flowing song.,Wetlands & Waterways,Insects & Invertebrates,category_wetlands.png,category_insects.png,british_reed_warbler.png,fact_bg.png,,check_box.png
36,,1,1,,,Sedge Warbler,Paler streaky warbler with bold eyebrow stripe. Loud song from low perches in rushes.,Wetlands & Waterways,Insects & Invertebrates,category_wetlands.png,category_insects.png,british_sedge_warbler.png,fact_bg.png,,check_box.png
37,,1,1,,,Grey Heron,Tall elegant grey heron standing motionless waiting for fish. Patient and deadly hunter.,Wetlands & Waterways,Fish & Aquatic Prey,category_wetlands.png,category_fish.png,british_grey_heron.png,fact_bg.png,,check_box.png
38,,1,1,,,Cormorant,Dark waterbird with long neck and crooked bill. Dives deep for fish in lakes and rivers.,Wetlands & Waterways,Fish & Aquatic Prey,category_wetlands.png,category_fish.png,british_cormorant.png,fact_bg.png,,check_box.png
39,,1,1,,,Marsh Harrier,Rare elegant raptor that hunts over wetlands and reed beds. Female is brown male pale.,Wetlands & Waterways,Meat & Carrion,category_wetlands.png,category_carnivore.png,british_marsh_harrier.png,fact_bg.png,,check_box.png
40,,1,1,,,Hen Harrier,Sleek raptor that hunts low over moorland and grassland with buoyant flight.,Wetlands & Waterways,Meat & Carrion,category_wetlands.png,category_carnivore.png,british_hen_harrier.png,fact_bg.png,,check_box.png
41,,1,1,,,Linnet,Delicate finch with red face and breast in males. Sings twittering song from gorse bushes.,Coastal & Marine,Seeds & Grain,category_coastal.png,category_seeds.png,british_linnet.png,fact_bg.png,,check_box.png
42,,1,1,,,Snow Bunting,White and buff bunting that arrives from Arctic in winter. Males very pale almost white.,Coastal & Marine,Seeds & Grain,category_coastal.png,category_seeds.png,british_snow_bunting.png,fact_bg.png,,check_box.png
